timestamp,open,high,low,close,volume
2020-03-16 18:30:00,15940,15960,15930,15960,1900.0
2020-03-16 19:00:00,15960,15960,15920,15920,600.0
2020-03-16 19:30:00,15900,15910,15870,15910,1100.0
2020-03-16 20:00:00,15910,15920,15900,15900,500.0
2020-03-16 20:30:00,15930,15930,15910,15910,200.0
2020-03-17 08:30:00,16010,16010,16010,16010,100.0
2020-03-17 09:00:00,16020,16050,16020,16050,500.0
2020-03-17 11:30:00,16030,16030,16010,16010,200.0
2020-03-17 12:00:00,16000,16030,15980,16000,1000.0
2020-03-17 12:30:00,15990,16030,15990,16000,900.0
2020-03-17 13:00:00,15990,15990,15990,15990,100.0
2020-03-17 13:30:00,16000,16000,16000,16000,300.0
2020-03-17 14:00:00,16020,16120,16020,16110,1800.0
2020-03-17 14:30:00,16120,16120,16100,16100,1200.0
2020-03-17 15:00:00,16100,16100,16090,16090,200.0
2020-03-17 15:30:00,16090,16100,16090,16100,200.0
2020-03-17 16:00:00,16120,16120,16100,16100,300.0
2020-03-17 16:30:00,16080,16080,16080,16080,100.0
2020-03-17 18:30:00,16100,16100,16000,16000,1100.0
2020-03-17 19:00:00,16000,16050,16000,16050,400.0
2020-03-17 19:30:00,16050,16060,16050,16060,200.0
2020-03-17 20:00:00,16050,16050,16050,16050,100.0
2020-03-17 20:30:00,16050,16050,16050,16050,300.0
2020-03-18 09:30:00,16130,16130,16100,16100,600.0
2020-03-18 10:00:00,16100,16100,16100,16100,200.0
2020-03-18 10:30:00,16110,16130,16110,16120,400.0
2020-03-18 11:00:00,16120,16120,16110,16110,200.0
2020-03-18 11:30:00,16100,16100,16050,16050,200.0
2020-03-18 12:00:00,16050,16050,16020,16020,500.0
2020-03-18 12:30:00,16010,16060,16010,16060,1100.0
2020-03-18 13:00:00,16020,16060,16020,16050,1000.0
2020-03-18 13:30:00,16050,16050,16050,16050,400.0
2020-03-18 15:00:00,16000,16000,16000,16000,100.0
2020-03-18 15:30:00,16000,16000,16000,16000,200.0
2020-03-18 16:00:00,16020,16020,16020,16020,100.0
2020-03-18 17:00:00,16000,16000,16000,16000,300.0
2020-03-18 17:30:00,16010,16010,16010,16010,100.0
2020-03-18 18:00:00,16010,16030,16010,16030,200.0
2020-03-18 19:00:00,16050,16050,16050,16050,100.0
2020-03-18 19:30:00,16030,16030,16030,16030,100.0
2020-03-18 20:00:00,16040,16040,16020,16030,400.0
2020-03-18 20:30:00,16030,16030,16020,16020,200.0
2020-03-18 21:00:00,16030,16030,16030,16030,100.0
2020-03-19 09:00:00,16020,16020,16000,16000,200.0
2020-03-19 09:30:00,16000,16000,16000,16000,300.0
2020-03-19 10:00:00,16000,16000,15970,15970,800.0
2020-03-19 10:30:00,15950,15950,15920,15930,600.0
2020-03-19 11:00:00,15920,15920,15910,15920,300.0
2020-03-19 11:30:00,15930,15930,15930,15930,100.0
2020-03-19 12:00:00,15920,15920,15920,15920,300.0
2020-03-19 12:30:00,15940,15940,15940,15940,100.0
2020-03-19 13:30:00,15980,15980,15970,15970,200.0
2020-03-22 11:30:00,16000,16000,16000,16000,200.0
2020-03-22 12:00:00,16010,16020,16010,16020,200.0
2020-03-22 12:30:00,16020,16030,16020,16030,300.0
2020-03-22 14:00:00,16020,16020,16020,16020,100.0
2020-03-22 15:00:00,16040,16040,16040,16040,100.0
2020-03-22 15:30:00,16030,16040,16030,16040,300.0
2020-03-22 16:30:00,16030,16030,16030,16030,100.0
2020-03-22 18:00:00,16010,16010,16010,16010,200.0
2020-03-22 20:00:00,16000,16000,16000,16000,100.0
2020-03-22 20:30:00,16020,16020,16020,16020,100.0
2020-03-23 11:00:00,15990,16020,15990,16020,200.0
2020-03-23 12:00:00,15980,15980,15980,15980,100.0
2020-03-23 12:30:00,15980,15980,15980,15980,100.0
2020-03-23 14:00:00,15970,15970,15970,15970,100.0
2020-03-23 15:00:00,15980,15990,15980,15980,400.0
2020-03-23 15:30:00,15970,15970,15970,15970,100.0
2020-03-23 17:00:00,15970,15970,15970,15970,100.0
2020-03-23 17:30:00,15980,15980,15975,15980,300.0
2020-03-23 18:00:00,15980,15990,15980,15990,200.0
2020-03-23 18:30:00,15980,15980,15980,15980,100.0
2020-03-23 19:00:00,15990,15990,15970,15970,300.0
2020-03-23 19:30:00,15960,15970,15940,15940,600.0
2020-03-23 21:00:00,15930,15930,15930,15930,300.0
2020-03-23 21:30:00,15920,15930,15920,15920,300.0
