open,high,low,close,volume,timestamp
79990,80240,79960,80200,1205.0,2024-12-31 11:15:00
80200,80200,80150,80150,501.0,2024-12-31 11:20:00
80130,80200,80110,80200,908.0,2024-12-31 11:25:00
80200,80390,80200,80360,1102.0,2024-12-31 11:30:00
80400,80550,80400,80550,305.0,2024-12-31 11:35:00
80530,80550,80510,80550,500.0,2024-12-31 11:40:00
80600,80690,80550,80550,810.0,2024-12-31 11:45:00
80600,80600,80560,80560,501.0,2024-12-31 11:50:00
80700,80750,80700,80710,501.0,2024-12-31 11:55:00
80700,80740,80580,80580,706.0,2024-12-31 12:00:00
80500,80500,80260,80300,702.0,2024-12-31 12:10:00
80350,80500,80350,80500,306.0,2024-12-31 12:15:00
80550,80560,80550,80560,700.0,2024-12-31 12:20:00
80640,80640,80560,80560,505.0,2024-12-31 12:25:00
80650,80650,80580,80590,207.0,2024-12-31 12:30:00
80500,80500,80330,80330,426.0,2024-12-31 12:35:00
80320,80330,80300,80300,605.0,2024-12-31 12:40:00
80300,80300,80250,80280,905.0,2024-12-31 12:45:00
80300,80490,80300,80480,707.0,2024-12-31 12:50:00
80450,80450,80400,80400,204.0,2024-12-31 12:55:00
80200,80200,80200,80200,100.0,2024-12-31 13:15:00
80200,80200,80160,80160,400.0,2024-12-31 13:35:00
80200,80200,80200,80200,200.0,2024-12-31 13:40:00
80250,80300,80250,80300,200.0,2024-12-31 13:45:00
80300,80300,80300,80300,100.0,2024-12-31 13:50:00
80350,80350,80350,80350,100.0,2024-12-31 13:55:00
80400,80440,80400,80440,501.0,2024-12-31 14:00:00
80420,80420,80400,80400,200.0,2024-12-31 14:10:00
80400,80500,80400,80450,1015.0,2024-12-31 14:15:00
80440,80440,80400,80440,810.0,2024-12-31 14:20:00
80400,80400,80260,80300,810.0,2024-12-31 14:25:00
80350,80400,80350,80400,305.0,2024-12-31 14:30:00
80350,80350,80150,80180,605.0,2024-12-31 14:35:00
80200,80200,80200,80200,100.0,2024-12-31 14:40:00
80250,80300,80250,80300,107.0,2024-12-31 14:45:00
80300,80350,80280,80350,912.0,2024-12-31 14:50:00
80350,80350,80190,80190,400.0,2024-12-31 15:00:00
80200,80340,80200,80340,300.0,2024-12-31 15:05:00
80330,80330,80260,80260,702.0,2024-12-31 15:10:00
80300,80300,80210,80210,600.0,2024-12-31 15:15:00
80250,80290,80250,80290,505.0,2024-12-31 15:20:00
80280,80280,80260,80280,400.0,2024-12-31 15:25:00
80300,80370,80300,80370,300.0,2024-12-31 15:40:00
80380,80510,80380,80510,600.0,2024-12-31 15:45:00
80490,80500,80460,80480,701.0,2024-12-31 15:50:00
80450,80450,80360,80360,600.0,2024-12-31 15:55:00
80360,80400,80360,80400,200.0,2024-12-31 16:10:00
80410,80410,80410,80410,100.0,2024-12-31 16:15:00
80430,80540,80430,80540,803.0,2024-12-31 16:20:00
80530,80530,80490,80490,501.0,2024-12-31 16:25:00
80500,80500,80400,80400,205.0,2024-12-31 16:55:00
80400,80400,80380,80380,200.0,2024-12-31 17:05:00
80350,80350,80260,80260,600.0,2024-12-31 17:15:00
80250,80250,80250,80250,100.0,2024-12-31 17:20:00
80250,80260,80230,80260,601.0,2024-12-31 17:30:00
80280,80300,80270,80300,210.0,2024-12-31 17:35:00
80350,80350,80350,80350,1.0,2024-12-31 17:40:00
80350,80370,80350,80370,200.0,2024-12-31 17:45:00
80380,80410,80380,80410,200.0,2024-12-31 17:50:00
80400,80440,80400,80400,417.0,2024-12-31 17:55:00
80420,80450,80410,80450,809.0,2024-12-31 18:00:00
80450,80450,80400,80400,505.0,2024-12-31 18:05:00
80410,80470,80410,80440,1502.0,2024-12-31 18:10:00
80430,80430,80400,80400,402.5,2024-12-31 18:15:00
80390,80400,80360,80390,714.0,2024-12-31 18:20:00
80400,80400,80400,80400,107.0,2024-12-31 18:25:00
80410,80440,80410,80440,700.0,2024-12-31 18:30:00
80430,80430,80420,80420,200.0,2024-12-31 18:35:00
80390,80400,80390,80400,112.0,2024-12-31 18:40:00
80400,80420,80400,80420,312.0,2024-12-31 18:45:00
80420,80420,80410,80420,306.0,2024-12-31 18:50:00
80410,80490,80400,80490,1002.0,2024-12-31 18:55:00
80480,80490,80460,80490,508.0,2024-12-31 19:00:00
80480,80480,80410,80410,720.0,2024-12-31 19:05:00
80430,80440,80410,80440,710.0,2024-12-31 19:10:00
80430,80450,80410,80420,1008.0,2024-12-31 19:15:00
80420,80440,80420,80440,300.0,2024-12-31 19:20:00
80420,80420,80380,80380,400.0,2024-12-31 19:25:00
80350,80350,80310,80340,800.0,2024-12-31 19:30:00
80320,80320,80260,80260,600.0,2024-12-31 19:35:00
80290,80290,80260,80280,600.0,2024-12-31 19:40:00
80300,80350,80300,80330,708.0,2024-12-31 19:45:00
80340,80340,80310,80310,200.0,2024-12-31 19:50:00
80320,80340,80320,80340,300.0,2024-12-31 19:55:00
80340,80340,80290,80290,600.0,2024-12-31 20:00:00
80300,80300,80210,80240,1304.0,2024-12-31 20:05:00
80230,80240,80210,80240,1200.0,2024-12-31 20:10:00
80230,80230,80200,80200,413.0,2024-12-31 20:15:00
80200,80200,80200,80200,100.0,2024-12-31 20:20:00
80210,80250,80200,80200,902.0,2024-12-31 20:25:00
80200,80200,80150,80190,1005.0,2024-12-31 20:30:00
80180,80250,80170,80250,700.0,2024-12-31 20:35:00
80260,80290,80210,80210,801.0,2024-12-31 20:40:00
80250,80250,80210,80250,606.5,2024-12-31 20:45:00
80260,80300,80260,80300,860.0,2024-12-31 20:50:00
80300,80330,80300,80330,300.0,2024-12-31 20:55:00
80320,80320,80310,80310,200.0,2025-01-01 08:55:00
80350,80350,80350,80350,105.0,2025-01-01 09:00:00
80300,80300,80250,80250,200.0,2025-01-01 09:05:00
80200,80200,80200,80200,200.0,2025-01-01 09:10:00
80100,80100,80100,80100,100.0,2025-01-01 09:20:00
80000,80000,79950,79950,200.0,2025-01-01 09:25:00
79960,80040,79950,79950,700.0,2025-01-01 09:30:00
79900,79900,79800,79800,300.0,2025-01-01 09:35:00
79750,79750,79650,79650,400.0,2025-01-01 09:40:00
79600,79600,79560,79560,500.0,2025-01-01 09:45:00
79600,79650,79600,79650,102.0,2025-01-01 09:50:00
79650,79650,79600,79600,102.0,2025-01-01 09:55:00
79510,79590,79510,79590,600.0,2025-01-01 10:00:00
79600,79650,79600,79650,105.0,2025-01-01 10:10:00
79700,79800,79700,79760,700.0,2025-01-01 10:15:00
79780,79890,79780,79890,705.0,2025-01-01 10:20:00
79880,79880,79800,79800,309.0,2025-01-01 10:25:00
79800,79900,79800,79900,210.0,2025-01-01 10:30:00
79950,79970,79950,79970,215.0,2025-01-01 10:35:00
80000,80140,80000,80140,903.0,2025-01-01 10:45:00
80130,80130,80130,80130,200.0,2025-01-01 10:50:00
80100,80100,80080,80100,306.0,2025-01-01 10:55:00
80100,80150,80100,80140,803.0,2025-01-01 11:00:00
80150,80220,80150,80220,702.0,2025-01-01 11:05:00
80220,80300,80220,80300,614.0,2025-01-01 11:10:00
80300,80350,80300,80350,103.0,2025-01-01 11:15:00
80350,80360,80310,80330,710.0,2025-01-01 11:20:00
80330,80340,80260,80270,705.0,2025-01-01 11:25:00
80250,80300,80200,80300,117.0,2025-01-01 11:30:00
80300,80340,80200,80250,1513.0,2025-01-01 11:35:00
80300,80440,80300,80440,1008.0,2025-01-01 11:40:00
80430,80430,80360,80360,607.0,2025-01-01 11:45:00
80360,80390,80360,80360,802.0,2025-01-01 11:50:00
80400,80450,80400,80450,1203.0,2025-01-01 11:55:00
80450,80490,80410,80440,1110.0,2025-01-01 12:00:00
80420,80420,80310,80310,510.0,2025-01-01 12:05:00
80300,80340,80300,80300,401.0,2025-01-01 12:10:00
80250,80250,80210,80210,403.0,2025-01-01 12:15:00
80250,80290,80250,80290,500.0,2025-01-01 12:20:00
80280,80300,80270,80280,5.0,2025-01-01 12:25:00
80300,80320,80300,80320,200.0,2025-01-01 12:30:00
80390,80390,80350,80350,200.0,2025-01-01 12:35:00
80300,80300,80300,80300,3.0,2025-01-01 12:40:00
80300,80300,80300,80300,100.0,2025-01-01 12:45:00
80280,80290,80250,80290,806.0,2025-01-01 12:50:00
80280,80340,80260,80300,719.0,2025-01-01 12:55:00
80300,80330,80300,80330,405.0,2025-01-01 13:00:00
80340,80390,80340,80390,502.0,2025-01-01 13:05:00
80380,80390,80380,80390,105.0,2025-01-01 13:10:00
80380,80390,80380,80390,102.0,2025-01-01 13:15:00
80350,80370,80330,80330,402.0,2025-01-01 13:20:00
80320,80320,80310,80310,200.0,2025-01-01 13:25:00
80320,80340,80280,80280,807.0,2025-01-01 13:30:00
80270,80300,80260,80300,806.0,2025-01-01 13:35:00
80300,80380,80300,80380,415.0,2025-01-01 13:40:00
80400,80400,80350,80350,205.0,2025-01-01 13:45:00
80340,80340,80310,80340,504.0,2025-01-01 13:50:00
80330,80330,80200,80200,305.0,2025-01-01 13:55:00
80150,80150,80110,80130,700.0,2025-01-01 14:00:00
80130,80290,80130,80250,907.0,2025-01-01 14:05:00
80260,80290,80210,80290,1305.0,2025-01-01 14:10:00
80260,80270,80260,80260,300.0,2025-01-01 14:15:00
80250,80250,80160,80160,1217.0,2025-01-01 14:20:00
80190,80200,80190,80200,103.0,2025-01-01 14:25:00
80180,80180,80180,80180,100.0,2025-01-01 14:30:00
80180,80210,80180,80210,302.0,2025-01-01 14:35:00
80210,80240,80210,80240,400.0,2025-01-01 14:40:00
80240,80240,80220,80230,400.0,2025-01-01 14:45:00
80230,80250,80230,80230,307.0,2025-01-01 14:50:00
80230,80290,80230,80260,800.0,2025-01-01 14:55:00
80250,80250,80250,80250,5.0,2025-01-01 15:00:00
80250,80250,80250,80250,100.0,2025-01-01 15:05:00
80240,80240,80180,80200,802.0,2025-01-01 15:10:00
80180,80180,80140,80170,805.0,2025-01-01 15:15:00
80170,80170,80100,80110,302.0,2025-01-01 15:20:00
80120,80160,80120,80160,106.0,2025-01-01 15:25:00
80160,80160,80110,80110,600.0,2025-01-01 15:35:00
80150,80150,80080,80080,1001.0,2025-01-01 15:40:00
80050,80050,80000,80010,702.0,2025-01-01 15:45:00
80020,80080,80020,80080,602.0,2025-01-01 15:50:00
80080,80090,80070,80090,302.0,2025-01-01 15:55:00
80050,80050,80050,80050,105.0,2025-01-01 16:00:00
80050,80050,80020,80040,603.0,2025-01-01 16:05:00
80030,80030,79950,79970,807.0,2025-01-01 16:10:00
79950,79950,79900,79930,816.0,2025-01-01 16:15:00
79970,80000,79970,80000,201.0,2025-01-01 16:25:00
80000,80000,80000,80000,100.0,2025-01-01 16:30:00
