open,high,low,close,volume,timestamp
7810000,7813000,7800000,7800000,6,2023-01-05 16:00:00
7808000,7825000,7796000,7819000,22,2023-01-05 16:15:00
7824000,7829000,7815000,7816000,20,2023-01-05 16:30:00
7817000,7819000,7813000,7819000,15,2023-01-05 16:45:00
7816000,7822000,7816000,7821000,14,2023-01-05 17:00:00
7820000,7820000,7813000,7813000,10,2023-01-05 17:15:00
7812000,7813000,7810000,7813000,7,2023-01-05 17:30:00
7814000,7814000,7814000,7814000,1,2023-01-05 17:45:00
7819000,7819000,7816000,7818000,6,2023-01-05 18:00:00
7817000,7820000,7810000,7810000,8,2023-01-05 18:15:00
7807000,7808000,7804000,7806000,13,2023-01-05 18:30:00
7811000,7813000,7801000,7807000,12,2023-01-05 18:45:00
7805000,7805000,7796000,7802000,20,2023-01-05 19:00:00
7803000,7804000,7801000,7804000,13,2023-01-05 19:15:00
7805000,7809000,7802000,7808000,12,2023-01-05 19:30:00
7807000,7807000,7799000,7799000,12,2023-01-05 19:45:00
7796000,7800000,7796000,7800000,3,2023-01-05 20:00:00
7814000,7818000,7814000,7815000,6,2023-01-06 14:45:00
7819000,7819000,7809000,7809000,6,2023-01-06 15:00:00
7808000,7809000,7804000,7805000,13,2023-01-06 15:15:00
7806000,7809000,7806000,7809000,6,2023-01-06 15:30:00
7808000,7808000,7805000,7806000,10,2023-01-06 15:45:00
7803000,7803000,7801000,7803000,11,2023-01-06 16:00:00
7801000,7804000,7798000,7802000,10,2023-01-06 16:15:00
7807000,7812000,7807000,7812000,12,2023-01-06 17:00:00
7814000,7821000,7813000,7821000,9,2023-01-06 17:15:00
7822000,7824000,7815000,7819000,15,2023-01-06 17:30:00
7820000,7820000,7813000,7816000,15,2023-01-06 17:45:00
7820000,7825000,7818000,7823000,10,2023-01-06 18:00:00
7821000,7821000,7819000,7821000,7,2023-01-06 18:15:00
7819000,7830000,7819000,7830000,13,2023-01-06 18:30:00
7832000,7836000,7831000,7832000,30,2023-01-06 18:45:00
7833000,7847000,7831000,7845000,37,2023-01-06 19:00:00
7840000,7896000,7840000,7887000,60,2023-01-06 19:15:00
7890000,7893000,7877000,7893000,42,2023-01-06 19:30:00
7895000,7910000,7891000,7906000,40,2023-01-06 19:45:00
7904000,7910000,7904000,7909000,4,2023-01-06 20:00:00
7911000,7913000,7911000,7913000,7,2023-01-07 10:45:00
7909000,7921000,7909000,7914000,6,2023-01-07 11:00:00
7943000,7983000,7943000,7978000,38,2023-01-07 11:15:00
7980000,8040000,7969000,8022000,55,2023-01-07 11:30:00
8025000,8075000,8025000,8075000,44,2023-01-07 11:45:00
8080000,8110000,8080000,8092000,35,2023-01-07 12:00:00
8088000,8100000,8080000,8097000,39,2023-01-07 12:15:00
8096000,8096000,8085000,8088000,8,2023-01-07 12:30:00
8081000,8081000,8065000,8073000,28,2023-01-07 12:45:00
8075000,8097000,8074000,8083000,27,2023-01-07 13:00:00
8081000,8095000,8080000,8080000,27,2023-01-07 13:15:00
8076000,8085000,8075000,8080000,26,2023-01-07 13:30:00
8076000,8104000,8076000,8100000,33,2023-01-07 13:45:00
8096000,8144000,8096000,8143000,27,2023-01-07 14:00:00
8141000,8160000,8135000,8152000,29,2023-01-07 14:15:00
8151000,8155000,8150000,8155000,6,2023-01-07 14:30:00
8157000,8159000,8155000,8155000,4,2023-01-07 14:45:00
8151000,8153000,8150000,8151000,6,2023-01-07 15:00:00
8152000,8154000,8150000,8152000,7,2023-01-07 15:15:00
8154000,8154000,8140000,8145000,13,2023-01-07 15:30:00
8149000,8150000,8146000,8149000,5,2023-01-07 15:45:00
8161000,8190000,8161000,8172000,24,2023-01-07 16:00:00
8174000,8180000,8174000,8175000,10,2023-01-07 16:15:00
8171000,8174000,8165000,8174000,12,2023-01-07 16:30:00
8172000,8186000,8172000,8186000,2,2023-01-07 16:45:00
8185000,8185000,8182000,8183000,7,2023-01-07 17:00:00
8185000,8195000,8185000,8190000,15,2023-01-07 17:15:00
8190000,8194000,8188000,8194000,7,2023-01-07 17:30:00
8193000,8193000,8180000,8184000,8,2023-01-07 17:45:00
8185000,8200000,8185000,8200000,17,2023-01-07 18:00:00
8200000,8215000,8200000,8215000,11,2023-01-07 18:15:00
8215000,8220000,8214000,8216000,23,2023-01-07 18:30:00
8215000,8232000,8211000,8232000,49,2023-01-07 18:45:00
8228000,8231000,8215000,8218000,26,2023-01-07 19:00:00
8220000,8230000,8219000,8226000,21,2023-01-07 19:15:00
8225000,8228000,8219000,8219000,22,2023-01-07 19:30:00
8218000,8218000,8211000,8211000,25,2023-01-07 19:45:00
8210000,8210000,8210000,8210000,1,2023-01-07 20:00:00
8287000,8300000,8285000,8300000,11,2023-01-08 11:00:00
8309000,8319000,8275000,8285000,12,2023-01-08 11:15:00
8280000,8284000,8211000,8214000,19,2023-01-08 11:30:00
8209000,8229000,8200000,8227000,29,2023-01-08 11:45:00
8220000,8234000,8220000,8224000,33,2023-01-08 12:00:00
8229000,8240000,8220000,8225000,16,2023-01-08 12:15:00
8220000,8220000,8150000,8200000,22,2023-01-08 12:30:00
8200000,8200000,8190000,8190000,10,2023-01-08 12:45:00
8170000,8175000,8161000,8165000,25,2023-01-08 13:00:00
8160000,8169000,8140000,8140000,50,2023-01-08 13:15:00
8130000,8134000,8111000,8114000,61,2023-01-08 13:30:00
8110000,8110000,8030000,8030000,17,2023-01-08 13:45:00
8020000,8020000,8000000,8000000,7,2023-01-08 14:00:00
8000000,8000000,7975000,7975000,14,2023-01-08 14:15:00
7980000,7994000,7980000,7985000,28,2023-01-08 14:30:00
7985000,8070000,7981000,8070000,14,2023-01-08 14:45:00
8100000,8170000,8080000,8170000,11,2023-01-08 15:00:00
8175000,8240000,8175000,8240000,6,2023-01-08 15:15:00
8241000,8245000,8210000,8210000,12,2023-01-08 15:30:00
8205000,8205000,8180000,8195000,18,2023-01-08 15:45:00
8185000,8200000,8185000,8191000,17,2023-01-08 16:00:00
8192000,8192000,8171000,8174000,23,2023-01-08 16:15:00
8170000,8170000,8134000,8145000,37,2023-01-08 16:30:00
8142000,8154000,8122000,8154000,39,2023-01-08 16:45:00
8155000,8190000,8155000,8190000,59,2023-01-08 17:00:00
8194000,8200000,8159000,8161000,44,2023-01-08 17:15:00
8165000,8175000,8150000,8155000,12,2023-01-08 17:30:00
8157000,8161000,8154000,8161000,11,2023-01-08 17:45:00
8165000,8169000,8155000,8155000,16,2023-01-08 18:00:00
8160000,8210000,8160000,8210000,15,2023-01-08 18:15:00
8220000,8220000,8205000,8209000,9,2023-01-08 18:30:00
8210000,8250000,8210000,8250000,11,2023-01-08 18:45:00
8250000,8250000,8195000,8205000,11,2023-01-08 19:00:00
