open,high,low,close,volume,timestamp
38920,39030,38920,38980,31520.0,2022-12-21 16:15:00
38970,38970,38840,38850,17323.0,2022-12-21 16:30:00
38840,38890,38820,38870,55298.0,2022-12-21 16:45:00
38870,38880,38840,38880,37750.0,2022-12-21 17:00:00
38880,38920,38880,38890,9644.0,2022-12-21 17:15:00
38880,38900,38880,38900,9844.0,2022-12-21 17:30:00
38900,39000,38900,38910,18872.0,2022-12-21 17:45:00
38900,38900,38870,38890,11514.0,2022-12-21 18:00:00
38900,38910,38870,38870,47387.0,2022-12-21 18:15:00
38870,38890,38870,38890,21560.0,2022-12-21 18:30:00
38900,38900,38830,38840,39817.0,2022-12-21 18:45:00
38830,38850,38820,38830,23575.0,2022-12-21 19:00:00
38820,38850,38810,38850,13349.0,2022-12-21 19:15:00
38850,38850,38820,38840,24737.0,2022-12-21 19:30:00
38840,38880,38840,38860,21150.0,2022-12-21 19:45:00
38850,38850,38840,38840,1636.0,2022-12-21 20:00:00
38850,38870,38850,38860,12459.0,2022-12-21 20:15:00
38870,38870,38860,38870,31485.0,2022-12-21 20:30:00
38870,38870,38860,38860,3594.0,2022-12-21 20:45:00
38870,38870,38870,38870,631.0,2022-12-21 21:00:00
38860,38860,38790,38790,16325.0,2022-12-21 21:15:00
38790,38860,38790,38850,26361.0,2022-12-21 21:30:00
38850,38900,38850,38900,19015.0,2022-12-21 21:45:00
38900,38970,38900,38970,2757.0,2022-12-22 08:00:00
38960,38990,38960,38970,4014.0,2022-12-22 08:15:00
38980,38990,38940,38950,27326.0,2022-12-22 08:30:00
38940,38980,38940,38970,37848.0,2022-12-22 08:45:00
38960,39040,38950,39040,59468.0,2022-12-22 09:00:00
39030,39030,38990,38990,76191.0,2022-12-22 09:15:00
38990,39120,38990,39120,92066.0,2022-12-22 09:30:00
39120,39130,39050,39090,43474.0,2022-12-22 09:45:00
39100,39140,39040,39130,38716.0,2022-12-22 10:00:00
39110,39170,39090,39130,85249.0,2022-12-22 10:15:00
39130,39140,39070,39080,58886.0,2022-12-22 10:30:00
39100,39160,39080,39080,47552.0,2022-12-22 10:45:00
39080,39120,39060,39100,103874.0,2022-12-22 11:00:00
39100,39110,39070,39070,68196.0,2022-12-22 11:15:00
39070,39070,38970,39000,98945.0,2022-12-22 11:30:00
39000,39090,38990,39060,81328.0,2022-12-22 11:45:00
39050,39130,39030,39080,78232.0,2022-12-22 12:00:00
39080,39090,39020,39030,68878.0,2022-12-22 12:15:00
39010,39060,38990,38990,20814.0,2022-12-22 12:30:00
38990,39040,38980,39030,39800.0,2022-12-22 12:45:00
39030,39100,39030,39080,14952.0,2022-12-22 13:00:00
39090,39090,39060,39070,21025.0,2022-12-22 13:15:00
39060,39060,39050,39050,5695.0,2022-12-22 13:30:00
39040,39070,39040,39070,6762.0,2022-12-22 13:45:00
39070,39070,39040,39070,12206.0,2022-12-22 14:00:00
39070,39100,39070,39100,17330.0,2022-12-22 14:15:00
39100,39100,39070,39070,35900.0,2022-12-22 14:30:00
39070,39070,39070,39070,257.0,2022-12-22 14:45:00
39080,39140,39080,39140,22992.0,2022-12-22 15:00:00
39140,39170,39140,39170,36718.0,2022-12-22 15:15:00
39180,39240,39170,39240,37924.0,2022-12-22 15:30:00
39230,39270,39200,39250,39838.0,2022-12-22 15:45:00
39250,39300,39230,39280,53179.0,2022-12-22 16:00:00
39280,39280,39250,39250,6842.0,2022-12-22 16:15:00
39250,39280,39250,39270,31105.0,2022-12-22 16:30:00
39270,39270,39240,39240,17919.0,2022-12-22 16:45:00
39240,39270,39240,39270,15269.0,2022-12-22 17:00:00
39270,39270,39250,39250,6840.0,2022-12-22 17:15:00
39250,39270,39250,39270,5479.0,2022-12-22 17:30:00
39270,39270,39250,39250,23452.0,2022-12-22 17:45:00
39250,39270,39250,39260,25399.0,2022-12-22 18:00:00
39260,39270,39260,39270,13831.0,2022-12-22 18:15:00
39280,39370,39280,39350,30913.0,2022-12-22 18:30:00
39340,39370,39320,39350,32399.0,2022-12-22 18:45:00
39340,39350,39330,39330,18301.0,2022-12-22 19:00:00
39320,39350,39320,39350,17381.0,2022-12-22 19:15:00
39350,39360,39340,39350,11052.0,2022-12-22 19:30:00
39360,39380,39350,39360,23515.0,2022-12-22 19:45:00
39360,39370,39340,39350,19925.0,2022-12-22 20:00:00
39350,39390,39350,39390,10595.0,2022-12-22 20:15:00
39390,39420,39390,39400,29967.0,2022-12-22 20:30:00
39400,39400,39360,39360,10505.0,2022-12-22 20:45:00
39350,39350,39350,39350,2600.0,2022-12-22 21:00:00
39020,39030,39010,39030,3401.0,2022-12-23 15:15:00
39040,39070,39030,39060,5160.0,2022-12-23 15:30:00
39060,39080,39060,39080,8849.0,2022-12-23 15:45:00
39070,39080,39070,39080,17268.0,2022-12-23 16:00:00
39070,39140,39070,39140,7857.0,2022-12-23 16:15:00
39140,39210,39140,39210,13588.0,2022-12-23 16:30:00
39210,39220,39180,39200,18678.0,2022-12-23 16:45:00
39220,39290,39220,39270,38122.0,2022-12-23 17:00:00
39270,39270,39170,39170,20329.0,2022-12-23 17:15:00
39170,39190,39170,39180,31352.0,2022-12-23 17:30:00
39180,39180,39170,39170,10833.0,2022-12-23 17:45:00
39160,39160,39080,39090,43801.0,2022-12-23 18:00:00
39080,39130,39080,39130,31852.0,2022-12-23 18:15:00
39130,39160,39130,39140,26345.0,2022-12-23 18:30:00
39130,39150,39130,39150,3670.0,2022-12-23 18:45:00
39150,39170,39150,39160,10174.0,2022-12-23 19:00:00
39160,39190,39160,39190,22638.0,2022-12-23 19:15:00
39190,39210,39180,39210,32391.0,2022-12-23 19:30:00
39210,39220,39180,39190,53102.0,2022-12-23 19:45:00
39190,39190,39170,39180,19544.0,2022-12-23 20:00:00
39180,39180,39180,39180,222.0,2022-12-23 20:15:00
39190,39190,39160,39180,9945.0,2022-12-23 20:30:00
