open,high,low,close,volume,timestamp
347600,352000,347600,352000,26,2012-08-21 00:00:00
353300,356500,352300,356100,41,2012-08-22 00:00:00
365000,367800,364000,367100,21,2012-08-23 00:00:00
370000,377500,370000,372800,41,2012-08-25 00:00:00
371800,372800,368200,368200,40,2012-08-26 00:00:00
367500,370700,367200,370700,34,2012-08-27 00:00:00
371000,371000,368800,370300,4,2012-08-28 00:00:00
371200,371200,370500,371000,3,2012-08-29 00:00:00
371200,371200,368600,368600,37,2012-09-02 00:00:00
364000,370800,363000,370600,39,2012-09-03 00:00:00
374000,374000,370600,371000,21,2012-09-04 00:00:00
372300,379200,372200,379200,45,2012-09-05 00:00:00
385000,385000,382500,383000,30,2012-09-06 00:00:00
391800,403800,391800,400800,63,2012-09-08 00:00:00
407000,418000,406200,416800,61,2012-09-09 00:00:00
430000,432500,409000,412300,52,2012-09-10 00:00:00
409000,411000,397000,411000,47,2012-09-11 00:00:00
397500,408000,394000,405500,28,2012-09-13 00:00:00
410500,419400,410500,416200,43,2012-09-15 00:00:00
416000,419500,416000,417000,51,2012-09-16 00:00:00
425000,427000,420500,420500,34,2012-09-17 00:00:00
417000,419200,411000,413500,50,2012-09-18 00:00:00
412000,418800,409000,418800,47,2012-09-19 00:00:00
417000,419700,416800,419500,16,2012-09-20 00:00:00
426000,427600,419500,427600,50,2012-09-22 00:00:00
425600,433000,425500,430700,48,2012-09-23 00:00:00
428000,448200,428000,447000,48,2012-09-24 00:00:00
454000,472000,453000,453000,60,2012-09-25 00:00:00
468000,469000,459200,462500,40,2012-09-26 00:00:00
474000,475000,468000,468500,20,2012-09-27 00:00:00
479000,500000,478000,492000,48,2012-09-29 00:00:00
512000,513000,494000,506800,48,2012-09-30 00:00:00
535000,574000,535000,572000,46,2012-10-01 00:00:00
540000,577000,515000,573000,30,2012-10-02 00:00:00
532000,540000,528500,539500,14,2012-10-10 00:00:00
541000,550000,541000,548500,10,2012-10-11 00:00:00
555000,566000,555000,566000,9,2012-10-13 00:00:00
598000,614000,598000,614000,8,2012-10-16 00:00:00
612000,630000,612000,629000,13,2012-10-17 00:00:00
598500,601000,598500,600000,4,2012-10-21 00:00:00
598000,598000,566000,579000,22,2012-10-22 00:00:00
550000,556000,538000,546000,14,2012-10-23 00:00:00
555000,582000,555000,564000,26,2012-10-24 00:00:00
563000,569000,562000,563500,8,2012-10-25 00:00:00
556000,563000,549500,552700,23,2012-10-27 00:00:00
551500,561000,543000,561000,32,2012-10-28 00:00:00
563500,568500,562000,565500,35,2012-10-29 00:00:00
554500,564000,554500,560500,30,2012-10-30 00:00:00
557000,559300,554000,557200,29,2012-10-31 00:00:00
557000,561000,557000,558500,17,2012-11-01 00:00:00
545000,545000,502000,502000,57,2012-11-04 00:00:00
501000,538000,494500,521000,50,2012-11-05 00:00:00
534000,550000,534000,541500,38,2012-11-06 00:00:00
565000,568000,540000,545000,52,2012-11-07 00:00:00
537000,540500,537000,538000,19,2012-11-08 00:00:00
544000,545500,538500,543500,26,2012-11-10 00:00:00
538000,541000,533000,538000,41,2012-11-11 00:00:00
535000,538500,534000,534500,34,2012-11-12 00:00:00
530000,530000,514000,514000,51,2012-11-13 00:00:00
519000,526000,515000,519500,51,2012-11-14 00:00:00
515000,515000,515000,515000,1,2012-11-15 00:00:00
514000,516000,500000,500000,35,2012-11-17 00:00:00
496000,496000,485500,493000,45,2012-11-18 00:00:00
494000,494000,485000,486000,35,2012-11-19 00:00:00
474000,487000,462500,477000,71,2012-11-20 00:00:00
480000,511000,478500,501000,61,2012-11-21 00:00:00
510000,510000,510000,510000,1,2012-11-22 00:00:00
516000,518000,512000,512000,8,2012-11-26 00:00:00
500000,510000,500000,508000,9,2012-11-27 00:00:00
510000,514000,504500,504500,43,2012-11-28 00:00:00
506000,510500,505700,508500,20,2012-11-29 00:00:00
518000,524000,516000,523800,38,2012-12-01 00:00:00
520000,521500,518000,518800,35,2012-12-02 00:00:00
520800,520800,519200,519800,24,2012-12-03 00:00:00
518500,518500,515500,516300,24,2012-12-04 00:00:00
519000,522300,518700,521500,31,2012-12-05 00:00:00
528500,529000,525500,526000,36,2012-12-06 00:00:00
529000,529000,519000,520000,57,2012-12-08 00:00:00
516000,522000,515000,521500,46,2012-12-09 00:00:00
521800,524500,521800,524500,5,2012-12-10 00:00:00
526000,527200,523000,525300,34,2012-12-11 00:00:00
526500,533000,525800,532800,52,2012-12-12 00:00:00
528800,532000,528800,529700,32,2012-12-13 00:00:00
525000,528000,525000,526000,41,2012-12-15 00:00:00
527300,527800,526200,527600,24,2012-12-16 00:00:00
530000,531000,527700,531000,33,2012-12-17 00:00:00
534200,550000,534000,549000,48,2012-12-18 00:00:00
544800,544800,536000,537000,55,2012-12-19 00:00:00
538000,542500,538000,540700,31,2012-12-20 00:00:00
543500,545000,541300,545000,32,2012-12-22 00:00:00
547500,557000,546500,557000,40,2012-12-23 00:00:00
566000,581000,565500,580500,45,2012-12-24 00:00:00
584000,586000,565000,566000,48,2012-12-25 00:00:00
564000,564000,560000,561000,4,2012-12-26 00:00:00
562500,562500,561500,562000,3,2012-12-27 00:00:00
549000,549000,543000,543000,4,2012-12-29 00:00:00
535000,549000,535000,549000,17,2012-12-30 00:00:00
558500,564000,549000,550000,18,2012-12-31 00:00:00
551200,552500,551000,551500,7,2013-01-01 00:00:00
558000,561000,557000,561000,6,2013-01-02 00:00:00
552000,552000,552000,552000,1,2013-01-05 00:00:00
551000,551000,548000,551000,6,2013-01-06 00:00:00
552000,552000,548000,550000,9,2013-01-07 00:00:00
549500,555000,549000,555000,11,2013-01-08 00:00:00
563500,563500,556500,558000,23,2013-01-09 00:00:00
557500,560000,557500,560000,5,2013-01-10 00:00:00
560500,560500,557500,559000,15,2013-01-13 00:00:00
560000,561000,559200,560500,11,2013-01-14 00:00:00
560000,568500,560000,568000,24,2013-01-15 00:00:00
570500,570500,563900,565200,22,2013-01-16 00:00:00
565000,565300,563500,565000,10,2013-01-17 00:00:00
567700,576500,567400,574500,37,2013-01-19 00:00:00
577000,585500,577000,583500,16,2013-01-20 00:00:00
589500,599800,589000,599800,35,2013-01-21 00:00:00
611000,611000,593000,603000,41,2013-01-22 00:00:00
602300,604000,598000,600200,30,2013-01-23 00:00:00
591000,596000,590500,594500,17,2013-01-24 00:00:00
593500,603500,593500,602000,32,2013-01-26 00:00:00
610500,614000,608000,610000,40,2013-01-27 00:00:00
614800,615500,611000,614800,32,2013-01-28 00:00:00
615000,634000,615000,634000,38,2013-01-30 00:00:00
642500,663500,642500,663500,22,2013-01-31 00:00:00
658000,659000,638000,652000,42,2013-02-02 00:00:00
638000,653000,638000,652000,43,2013-02-03 00:00:00
649500,656500,646000,654500,34,2013-02-04 00:00:00
660500,662500,644000,644500,48,2013-02-05 00:00:00
638000,647000,626000,646000,53,2013-02-06 00:00:00
647500,652500,643000,645000,23,2013-02-07 00:00:00
644500,648500,644500,648500,9,2013-02-09 00:00:00
645000,645500,632800,633500,45,2013-02-11 00:00:00
639000,639000,619000,621000,39,2013-02-12 00:00:00
604000,621000,604000,618000,40,2013-02-13 00:00:00
624000,631000,623000,631000,17,2013-02-14 00:00:00
623000,623500,616500,621000,35,2013-02-16 00:00:00
619000,620500,611000,611000,38,2013-02-17 00:00:00
612500,617000,612500,614300,33,2013-02-18 00:00:00
614500,622000,614000,614000,34,2013-02-19 00:00:00
613000,613200,606000,609500,31,2013-02-20 00:00:00
601000,602500,600000,602500,17,2013-02-21 00:00:00
605800,607500,595000,595000,31,2013-02-23 00:00:00
597000,600000,593500,599500,23,2013-02-24 00:00:00
606000,620300,606000,617000,33,2013-02-25 00:00:00
624000,631000,621500,631000,30,2013-02-26 00:00:00
633000,633000,616000,621000,42,2013-02-27 00:00:00
613000,616500,610500,610500,19,2013-02-28 00:00:00
609000,609000,593500,593500,28,2013-03-02 00:00:00
586000,587000,576000,582000,35,2013-03-03 00:00:00
554000,555000,538000,554000,40,2013-03-04 00:00:00
555000,577500,552000,570000,56,2013-03-05 00:00:00
584000,606000,582000,602000,44,2013-03-06 00:00:00
612000,615000,592000,602000,27,2013-03-07 00:00:00
599000,599000,579500,581000,48,2013-03-09 00:00:00
572000,584000,571500,581000,43,2013-03-10 00:00:00
592000,594000,582000,587000,35,2013-03-11 00:00:00
585500,586500,582500,584500,34,2013-03-12 00:00:00
577500,582000,576500,578000,29,2013-03-13 00:00:00
573000,575000,569000,569000,14,2013-03-14 00:00:00
566000,567500,550000,554000,38,2013-03-16 00:00:00
560000,581000,559000,574500,37,2013-03-17 00:00:00
576500,582000,571500,578500,26,2013-03-18 00:00:00
590000,590000,590000,590000,1,2013-03-27 00:00:00
591000,591000,591000,591000,1,2013-03-28 00:00:00
587500,587500,582000,582000,4,2013-03-30 00:00:00
580000,580000,577500,579000,8,2013-03-31 00:00:00
565000,576000,565000,576000,10,2013-04-03 00:00:00
572500,573000,568000,569000,7,2013-04-04 00:00:00
590000,594500,577000,577000,43,2013-04-06 00:00:00
608000,608000,598500,606000,34,2013-04-07 00:00:00
602000,603000,588500,588500,38,2013-04-08 00:00:00
592500,594500,589000,592000,37,2013-04-09 00:00:00
594500,594500,587500,588000,24,2013-04-10 00:00:00
582000,584000,581000,584000,23,2013-04-11 00:00:00
558000,565000,558000,565000,39,2013-04-13 00:00:00
554000,556000,535000,535000,51,2013-04-15 00:00:00
538000,542000,532000,540000,49,2013-04-16 00:00:00
539000,541000,537000,541000,60,2013-04-17 00:00:00
539000,543000,539000,543000,22,2013-04-18 00:00:00
543000,546000,542000,543000,45,2013-04-20 00:00:00
543500,550000,543300,550000,62,2013-04-21 00:00:00
554000,566000,554000,559000,71,2013-04-22 00:00:00
563000,563000,554500,558500,49,2013-04-23 00:00:00
561500,564500,560000,563500,53,2013-04-24 00:00:00
568000,568000,565000,567000,34,2013-04-25 00:00:00
564000,565000,560500,562000,50,2013-04-27 00:00:00
558500,565000,558500,564000,36,2013-04-28 00:00:00
566000,567000,565000,565000,34,2013-04-29 00:00:00
563500,564000,562000,563200,36,2013-04-30 00:00:00
562000,562500,556500,556500,30,2013-05-01 00:00:00
555500,559000,554000,559000,33,2013-05-02 00:00:00
556500,556500,554800,555300,39,2013-05-04 00:00:00
557000,562000,557000,562000,44,2013-05-05 00:00:00
562500,562500,556000,556800,32,2013-05-06 00:00:00
553500,554500,551000,552000,46,2013-05-07 00:00:00
552500,552500,547200,549500,41,2013-05-08 00:00:00
548500,550500,547400,548500,23,2013-05-09 00:00:00
543500,543500,528000,528000,67,2013-05-11 00:00:00
531000,537000,531000,536000,48,2013-05-12 00:00:00
531000,534000,531000,532000,45,2013-05-13 00:00:00
536000,536000,531500,532800,13,2013-05-14 00:00:00
527500,528000,525500,525500,43,2013-05-15 00:00:00
524500,524500,518000,522000,25,2013-05-16 00:00:00
514000,514000,505500,505500,48,2013-05-18 00:00:00
495000,496500,485000,486500,42,2013-05-19 00:00:00
478000,491000,475000,489000,78,2013-05-20 00:00:00
498000,511000,498000,506500,68,2013-05-21 00:00:00
518000,534000,517000,530000,65,2013-05-22 00:00:00
526000,527500,522500,524500,33,2013-05-23 00:00:00
531000,539000,529000,539000,38,2013-05-25 00:00:00
540000,550000,537000,540000,29,2013-05-26 00:00:00
542000,545000,539000,540500,27,2013-05-27 00:00:00
548000,548000,538800,541500,48,2013-05-28 00:00:00
543500,543500,539500,539500,37,2013-05-29 00:00:00
539000,541700,538500,541000,20,2013-05-30 00:00:00
542000,542000,542000,542000,1,2013-05-31 00:00:00
538000,540500,538000,538000,33,2013-06-01 00:00:00
538500,539500,533000,533000,34,2013-06-02 00:00:00
534500,537000,534000,537000,25,2013-06-03 00:00:00
539500,539500,539500,539500,1,2013-06-05 00:00:00
539000,540000,538500,540000,3,2013-06-06 00:00:00
537000,538000,536000,536000,18,2013-06-08 00:00:00
535500,535500,531500,531500,25,2013-06-09 00:00:00
528500,528500,524500,524500,27,2013-06-10 00:00:00
521000,522000,515200,520500,57,2013-06-11 00:00:00
520000,532000,520000,529500,36,2013-06-12 00:00:00
532000,533500,531000,532500,17,2013-06-13 00:00:00
518000,519000,500000,504000,82,2013-06-15 00:00:00
513000,519500,513000,517000,39,2013-06-16 00:00:00
509500,516000,505000,512500,66,2013-06-17 00:00:00
515500,515500,505500,505500,38,2013-06-18 00:00:00
501000,502500,493800,496000,66,2013-06-19 00:00:00
490000,490000,467500,472000,47,2013-06-20 00:00:00
468000,468000,435000,435000,84,2013-06-22 00:00:00
432000,445500,413500,440000,77,2013-06-23 00:00:00
442000,443000,433000,433000,7,2013-06-24 00:00:00
432000,446000,424000,439000,90,2013-06-25 00:00:00
433500,439500,429000,436500,75,2013-06-26 00:00:00
445000,448000,441000,445000,38,2013-06-27 00:00:00
448000,449000,438000,440000,52,2013-06-29 00:00:00
444000,447500,441500,445000,45,2013-06-30 00:00:00
455500,457500,453000,455000,46,2013-07-01 00:00:00
459000,464500,458500,460000,50,2013-07-02 00:00:00
459000,459000,449000,454500,57,2013-07-03 00:00:00
453500,453500,451000,451000,15,2013-07-04 00:00:00
440000,442000,436000,436000,38,2013-07-06 00:00:00
435000,440000,432200,440000,36,2013-07-07 00:00:00
442000,442500,438000,438000,32,2013-07-08 00:00:00
442000,443000,437500,438500,40,2013-07-09 00:00:00
438000,439500,437300,438500,32,2013-07-10 00:00:00
444000,451000,444000,447500,31,2013-07-11 00:00:00
446000,446000,443000,445500,36,2013-07-13 00:00:00
442500,446500,442200,446500,39,2013-07-14 00:00:00
447000,447000,444600,445500,32,2013-07-15 00:00:00
444500,446500,444500,445500,29,2013-07-16 00:00:00
443500,444500,439500,440000,32,2013-07-17 00:00:00
436500,437500,432000,434500,34,2013-07-18 00:00:00
430000,431000,426000,426000,43,2013-07-20 00:00:00
425500,430000,425500,430000,47,2013-07-21 00:00:00
439500,439500,435000,437500,53,2013-07-22 00:00:00
437000,439500,434500,435500,47,2013-07-23 00:00:00
441500,446000,441000,442500,36,2013-07-24 00:00:00
439000,442500,439000,440000,17,2013-07-25 00:00:00
443500,450000,443500,448500,44,2013-07-27 00:00:00
453000,453500,448500,450500,44,2013-07-28 00:00:00
448000,448500,445500,447000,31,2013-07-29 00:00:00
448000,448500,444000,444000,27,2013-07-31 00:00:00
445500,447000,445000,446000,6,2013-08-01 00:00:00
449500,458000,446000,455000,67,2013-08-03 00:00:00
457500,457500,449000,449000,58,2013-08-04 00:00:00
447500,450500,446500,447700,42,2013-08-05 00:00:00
443000,444000,442200,443000,32,2013-08-06 00:00:00
445000,445500,442500,445500,43,2013-08-07 00:00:00
447500,447500,445500,446500,13,2013-08-08 00:00:00
449000,449000,449000,449000,1,2013-08-09 00:00:00
449500,449500,449200,449200,2,2013-08-10 00:00:00
449500,451000,449000,451000,32,2013-08-11 00:00:00
455500,456000,452800,455000,42,2013-08-12 00:00:00
