timestamp,open,high,low,close,volume
2018-12-29 16:00:00,1407000,1408000,1401000,1401000,13
2018-12-29 16:30:00,1402000,1413000,1402000,1413000,12
2018-12-29 17:00:00,1414000,1421000,1414000,1414000,15
2018-12-29 17:30:00,1413000,1414000,1413000,1414000,2
2018-12-29 18:00:00,1415000,1418000,1415000,1418000,6
2018-12-29 18:30:00,1417000,1420000,1417000,1420000,3
2018-12-29 19:00:00,1422000,1422000,1422000,1422000,1
2018-12-29 19:30:00,1426000,1426000,1426000,1426000,1
2018-12-29 20:00:00,1430000,1430000,1429000,1429000,2
2018-12-29 20:30:00,1431000,1432000,1431000,1432000,2
2018-12-29 21:00:00,1430000,1430000,1430000,1430000,1
2018-12-29 22:30:00,1435000,1435000,1433000,1433000,2
2018-12-30 10:30:00,1438000,1443000,1438000,1440000,15
2018-12-30 11:00:00,1441000,1442000,1431000,1431000,40
2018-12-30 11:30:00,1432000,1452000,1431000,1452000,39
2018-12-30 12:00:00,1453000,1465000,1449000,1460000,35
2018-12-30 12:30:00,1462000,1467000,1459000,1459000,35
2018-12-30 13:00:00,1459000,1459000,1441000,1442000,28
2018-12-30 13:30:00,1443000,1459000,1443000,1453000,27
2018-12-30 14:00:00,1448000,1454000,1447000,1452000,24
2018-12-30 14:30:00,1450000,1456000,1444000,1444000,17
2018-12-30 15:00:00,1443000,1445000,1432000,1433000,13
2018-12-30 15:30:00,1432000,1444000,1432000,1440000,19
2018-12-30 16:00:00,1439000,1446000,1437000,1437000,11
2018-12-30 16:30:00,1436000,1443000,1436000,1442000,8
2018-12-30 17:00:00,1443000,1455000,1443000,1454000,12
2018-12-30 17:30:00,1452000,1452000,1446000,1452000,11
2018-12-30 18:00:00,1453000,1456000,1453000,1456000,5
2018-12-30 18:30:00,1458000,1459000,1447000,1447000,11
2018-12-30 19:00:00,1446000,1446000,1444000,1444000,2
2018-12-30 20:00:00,1455000,1455000,1455000,1455000,1
2018-12-30 20:30:00,1452000,1458000,1452000,1458000,2
2018-12-30 23:00:00,1463000,1463000,1463000,1463000,1
2018-12-30 23:30:00,1470000,1470000,1470000,1470000,1
2018-12-31 10:30:00,1474000,1478000,1471000,1475000,7
2018-12-31 11:00:00,1479000,1481000,1464000,1464000,30
2018-12-31 11:30:00,1465000,1475000,1461000,1475000,34
2018-12-31 12:00:00,1474000,1477000,1470000,1475000,30
2018-12-31 12:30:00,1475000,1475000,1466000,1467000,25
2018-12-31 13:00:00,1466000,1466000,1460000,1462000,11
2018-12-31 13:30:00,1461000,1462000,1456000,1462000,22
2018-12-31 14:00:00,1464000,1470000,1463000,1466000,15
2018-12-31 14:30:00,1470000,1472000,1470000,1472000,11
2018-12-31 15:00:00,1471000,1471000,1467000,1469000,13
2018-12-31 15:30:00,1469000,1471000,1468000,1470000,14
2018-12-31 16:00:00,1471000,1476000,1471000,1476000,16
2018-12-31 16:30:00,1477000,1480000,1476000,1479000,12
2018-12-31 17:00:00,1480000,1480000,1475000,1475000,9
2018-12-31 17:30:00,1475000,1478000,1475000,1476000,10
2018-12-31 18:00:00,1475000,1475000,1473000,1473000,3
2018-12-31 18:30:00,1471000,1472000,1471000,1471000,8
2018-12-31 19:30:00,1472000,1472000,1472000,1472000,2
2018-12-31 20:00:00,1475000,1475000,1475000,1475000,1
2018-12-31 20:30:00,1470000,1470000,1470000,1470000,1
2018-12-31 21:30:00,1465000,1465000,1464000,1464000,2
2018-12-31 22:30:00,1461000,1461000,1461000,1461000,1
2018-12-31 23:30:00,1459000,1459000,1459000,1459000,1
2019-01-01 00:00:00,1457000,1457000,1457000,1457000,1
2019-01-01 10:30:00,1435000,1435000,1435000,1435000,1
2019-01-01 11:00:00,1436000,1436000,1434000,1434000,2
2019-01-01 11:30:00,1432000,1434000,1432000,1433000,3
2019-01-01 12:00:00,1436000,1436000,1434000,1434000,2
2019-01-01 12:30:00,1432000,1432000,1426000,1428000,4
2019-01-01 13:00:00,1430000,1435000,1430000,1435000,2
2019-01-01 13:30:00,1437000,1437000,1432000,1432000,3
2019-01-01 14:00:00,1433000,1438000,1433000,1436000,5
2019-01-01 14:30:00,1434000,1440000,1434000,1440000,3
2019-01-01 15:00:00,1438000,1438000,1438000,1438000,2
2019-01-01 15:30:00,1442000,1442000,1442000,1442000,1
2019-01-01 16:00:00,1445000,1450000,1445000,1450000,2
2019-01-01 16:30:00,1447000,1447000,1447000,1447000,1
2019-01-01 17:00:00,1442000,1442000,1442000,1442000,1
2019-01-01 17:30:00,1439000,1440000,1436000,1436000,9
2019-01-01 18:00:00,1437000,1440000,1437000,1438000,6
2019-01-01 18:30:00,1437000,1437000,1436000,1437000,4
2019-01-01 19:00:00,1434000,1434000,1434000,1434000,2
2019-01-01 20:00:00,1430000,1430000,1426000,1426000,4
2019-01-01 20:30:00,1423000,1423000,1423000,1423000,1
2019-01-01 21:00:00,1425000,1425000,1421000,1421000,3
2019-01-01 23:00:00,1425000,1425000,1425000,1425000,1
2019-01-02 10:30:00,1431000,1435000,1430000,1432000,10
2019-01-02 11:00:00,1431000,1432000,1421000,1426000,43
2019-01-02 11:30:00,1428000,1435000,1426000,1435000,37
2019-01-02 12:00:00,1434000,1440000,1432000,1434000,41
2019-01-02 12:30:00,1436000,1437000,1432000,1435000,19
2019-01-02 13:00:00,1434000,1434000,1429000,1431000,27
2019-01-02 13:30:00,1432000,1439000,1432000,1438000,16
2019-01-02 14:00:00,1438000,1440000,1436000,1438000,13
2019-01-02 14:30:00,1438000,1439000,1436000,1438000,15
2019-01-02 15:00:00,1438000,1443000,1438000,1443000,9
2019-01-02 15:30:00,1440000,1442000,1437000,1437000,9
2019-01-02 16:00:00,1436000,1437000,1434000,1436000,13
2019-01-02 16:30:00,1437000,1437000,1437000,1437000,1
2019-01-02 17:00:00,1436000,1436000,1436000,1436000,2
2019-01-02 17:30:00,1435000,1437000,1435000,1436000,3
2019-01-02 18:00:00,1438000,1440000,1438000,1440000,2
2019-01-02 19:00:00,1442000,1443000,1442000,1442000,3
2019-01-02 20:00:00,1444000,1445000,1442000,1442000,3
2019-01-02 21:30:00,1444000,1444000,1444000,1444000,1
2019-01-02 22:00:00,1443000,1443000,1443000,1443000,1
2019-01-03 10:30:00,1456000,1461000,1455000,1461000,5
2019-01-03 11:00:00,1465000,1468000,1454000,1457000,23
2019-01-03 11:30:00,1458000,1462000,1456000,1459000,19
2019-01-03 12:00:00,1458000,1458000,1454000,1454000,10
2019-01-03 12:30:00,1455000,1458000,1455000,1456000,13
2019-01-03 13:00:00,1454000,1454000,1451000,1452000,8
