timestamp,open,high,low,close,volume
2012-08-20 00:00:00,347600,352000,347600,352000,26
2012-08-21 00:00:00,353300,356500,352300,356100,41
2012-08-22 00:00:00,365000,367800,364000,367100,21
2012-08-24 00:00:00,370000,377500,370000,372800,41
2012-08-25 00:00:00,371800,372800,368200,368200,40
2012-08-26 00:00:00,367500,370700,367200,370700,34
2012-08-27 00:00:00,371000,371000,368800,370300,4
2012-08-28 00:00:00,371200,371200,370500,371000,3
2012-09-01 00:00:00,371200,371200,368600,368600,37
2012-09-02 00:00:00,364000,370800,363000,370600,39
2012-09-03 00:00:00,374000,374000,370600,371000,21
2012-09-04 00:00:00,372300,379200,372200,379200,45
2012-09-05 00:00:00,385000,385000,382500,383000,30
2012-09-07 00:00:00,391800,403800,391800,400800,63
2012-09-08 00:00:00,407000,418000,406200,416800,61
2012-09-09 00:00:00,430000,432500,409000,412300,52
2012-09-10 00:00:00,409000,411000,397000,411000,47
2012-09-12 00:00:00,397500,408000,394000,405500,28
2012-09-14 00:00:00,410500,419400,410500,416200,43
2012-09-15 00:00:00,416000,419500,416000,417000,51
2012-09-16 00:00:00,425000,427000,420500,420500,34
2012-09-17 00:00:00,417000,419200,411000,413500,50
2012-09-18 00:00:00,412000,418800,409000,418800,47
2012-09-19 00:00:00,417000,419700,416800,419500,16
2012-09-21 00:00:00,426000,427600,419500,427600,50
2012-09-22 00:00:00,425600,433000,425500,430700,48
2012-09-23 00:00:00,428000,448200,428000,447000,48
2012-09-24 00:00:00,454000,472000,453000,453000,60
2012-09-25 00:00:00,468000,469000,459200,462500,40
2012-09-26 00:00:00,474000,475000,468000,468500,20
2012-09-28 00:00:00,479000,500000,478000,492000,48
2012-09-29 00:00:00,512000,513000,494000,506800,48
2012-09-30 00:00:00,535000,574000,535000,572000,46
2012-10-01 00:00:00,540000,577000,515000,573000,30
2012-10-09 00:00:00,532000,540000,528500,539500,14
2012-10-10 00:00:00,541000,550000,541000,548500,10
2012-10-12 00:00:00,555000,566000,555000,566000,9
2012-10-15 00:00:00,598000,614000,598000,614000,8
2012-10-16 00:00:00,612000,630000,612000,629000,13
2012-10-20 00:00:00,598500,601000,598500,600000,4
2012-10-21 00:00:00,598000,598000,566000,579000,22
2012-10-22 00:00:00,550000,556000,538000,546000,14
2012-10-23 00:00:00,555000,582000,555000,564000,26
2012-10-24 00:00:00,563000,569000,562000,563500,8
2012-10-26 00:00:00,556000,563000,549500,552700,23
2012-10-27 00:00:00,551500,561000,543000,561000,32
2012-10-28 00:00:00,563500,568500,562000,565500,35
2012-10-29 00:00:00,554500,564000,554500,560500,30
2012-10-30 00:00:00,557000,559300,554000,557200,29
2012-10-31 00:00:00,557000,561000,557000,558500,17
2012-11-03 00:00:00,545000,545000,502000,502000,57
2012-11-04 00:00:00,501000,538000,494500,521000,50
2012-11-05 00:00:00,534000,550000,534000,541500,38
2012-11-06 00:00:00,565000,568000,540000,545000,52
2012-11-07 00:00:00,537000,540500,537000,538000,19
2012-11-09 00:00:00,544000,545500,538500,543500,26
2012-11-10 00:00:00,538000,541000,533000,538000,41
2012-11-11 00:00:00,535000,538500,534000,534500,34
2012-11-12 00:00:00,530000,530000,514000,514000,51
2012-11-13 00:00:00,519000,526000,515000,519500,51
2012-11-14 00:00:00,515000,515000,515000,515000,1
2012-11-16 00:00:00,514000,516000,500000,500000,35
2012-11-17 00:00:00,496000,496000,485500,493000,45
2012-11-18 00:00:00,494000,494000,485000,486000,35
2012-11-19 00:00:00,474000,487000,462500,477000,71
2012-11-20 00:00:00,480000,511000,478500,501000,61
2012-11-21 00:00:00,510000,510000,510000,510000,1
2012-11-25 00:00:00,516000,518000,512000,512000,8
2012-11-26 00:00:00,500000,510000,500000,508000,9
2012-11-27 00:00:00,510000,514000,504500,504500,43
2012-11-28 00:00:00,506000,510500,505700,508500,20
2012-11-30 00:00:00,518000,524000,516000,523800,38
2012-12-01 00:00:00,520000,521500,518000,518800,35
2012-12-02 00:00:00,520800,520800,519200,519800,24
2012-12-03 00:00:00,518500,518500,515500,516300,24
2012-12-04 00:00:00,519000,522300,518700,521500,31
2012-12-05 00:00:00,528500,529000,525500,526000,36
2012-12-07 00:00:00,529000,529000,519000,520000,57
2012-12-08 00:00:00,516000,522000,515000,521500,46
2012-12-09 00:00:00,521800,524500,521800,524500,5
2012-12-10 00:00:00,526000,527200,523000,525300,34
2012-12-11 00:00:00,526500,533000,525800,532800,52
2012-12-12 00:00:00,528800,532000,528800,529700,32
2012-12-14 00:00:00,525000,528000,525000,526000,41
2012-12-15 00:00:00,527300,527800,526200,527600,24
2012-12-16 00:00:00,530000,531000,527700,531000,33
2012-12-17 00:00:00,534200,550000,534000,549000,48
2012-12-18 00:00:00,544800,544800,536000,537000,55
2012-12-19 00:00:00,538000,542500,538000,540700,31
2012-12-21 00:00:00,543500,545000,541300,545000,32
2012-12-22 00:00:00,547500,557000,546500,557000,40
2012-12-23 00:00:00,566000,581000,565500,580500,45
2012-12-24 00:00:00,584000,586000,565000,566000,48
2012-12-25 00:00:00,564000,564000,560000,561000,4
2012-12-26 00:00:00,562500,562500,561500,562000,3
2012-12-28 00:00:00,549000,549000,543000,543000,4
2012-12-29 00:00:00,535000,549000,535000,549000,17
2012-12-30 00:00:00,558500,564000,549000,550000,18
2012-12-31 00:00:00,551200,552500,551000,551500,7
2013-01-01 00:00:00,558000,561000,557000,561000,6
2013-01-04 00:00:00,552000,552000,552000,552000,1
2013-01-05 00:00:00,551000,551000,548000,551000,6
2013-01-06 00:00:00,552000,552000,548000,550000,9
2013-01-07 00:00:00,549500,555000,549000,555000,11
2013-01-08 00:00:00,563500,563500,556500,558000,23
2013-01-09 00:00:00,557500,560000,557500,560000,5
2013-01-12 00:00:00,560500,560500,557500,559000,15
2013-01-13 00:00:00,560000,561000,559200,560500,11
2013-01-14 00:00:00,560000,568500,560000,568000,24
2013-01-15 00:00:00,570500,570500,563900,565200,22
2013-01-16 00:00:00,565000,565300,563500,565000,10
2013-01-18 00:00:00,567700,576500,567400,574500,37
2013-01-19 00:00:00,577000,585500,577000,583500,16
2013-01-20 00:00:00,589500,599800,589000,599800,35
2013-01-21 00:00:00,611000,611000,593000,603000,41
2013-01-22 00:00:00,602300,604000,598000,600200,30
2013-01-23 00:00:00,591000,596000,590500,594500,17
2013-01-25 00:00:00,593500,603500,593500,602000,32
2013-01-26 00:00:00,610500,614000,608000,610000,40
2013-01-27 00:00:00,614800,615500,611000,614800,32
2013-01-29 00:00:00,615000,634000,615000,634000,38
2013-01-30 00:00:00,642500,663500,642500,663500,22
2013-02-01 00:00:00,658000,659000,638000,652000,42
2013-02-02 00:00:00,638000,653000,638000,652000,43
2013-02-03 00:00:00,649500,656500,646000,654500,34
2013-02-04 00:00:00,660500,662500,644000,644500,48
2013-02-05 00:00:00,638000,647000,626000,646000,53
2013-02-06 00:00:00,647500,652500,643000,645000,23
2013-02-08 00:00:00,644500,648500,644500,648500,9
2013-02-10 00:00:00,645000,645500,632800,633500,45
2013-02-11 00:00:00,639000,639000,619000,621000,39
2013-02-12 00:00:00,604000,621000,604000,618000,40
2013-02-13 00:00:00,624000,631000,623000,631000,17
2013-02-15 00:00:00,623000,623500,616500,621000,35
2013-02-16 00:00:00,619000,620500,611000,611000,38
2013-02-17 00:00:00,612500,617000,612500,614300,33
2013-02-18 00:00:00,614500,622000,614000,614000,34
2013-02-19 00:00:00,613000,613200,606000,609500,31
2013-02-20 00:00:00,601000,602500,600000,602500,17
2013-02-22 00:00:00,605800,607500,595000,595000,31
2013-02-23 00:00:00,597000,600000,593500,599500,23
2013-02-24 00:00:00,606000,620300,606000,617000,33
2013-02-25 00:00:00,624000,631000,621500,631000,30
2013-02-26 00:00:00,633000,633000,616000,621000,42
2013-02-27 00:00:00,613000,616500,610500,610500,19
2013-03-01 00:00:00,609000,609000,593500,593500,28
2013-03-02 00:00:00,586000,587000,576000,582000,35
2013-03-03 00:00:00,554000,555000,538000,554000,40
2013-03-04 00:00:00,555000,577500,552000,570000,56
2013-03-05 00:00:00,584000,606000,582000,602000,44
2013-03-06 00:00:00,612000,615000,592000,602000,27
2013-03-08 00:00:00,599000,599000,579500,581000,48
2013-03-09 00:00:00,572000,584000,571500,581000,43
2013-03-10 00:00:00,592000,594000,582000,587000,35
